aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,벽산블루밍평창힐스,2004,,,,"81,000",31,5,2011,,,150.94,1,45,N,,11110,,평창동
,광화문스페이스본(101동~105동),2008,,,,"115,000",31,5,2011,,,146.92,7,9,N,,11110,,사직동
,르트랑시망,2008,,,,"121,000",25,5,2011,,,133.77,5,102,N,,11110,,평창동
,종로청계힐스테이트,2009,,,,"56,000",31,5,2011,,,84.9478,15,766,N,,11110,,숭인동
,롯데낙천대,2001,,,,"71,000",11,5,2011,,,110.53,14,72,N,,11110,,평창동
,현대,2000,,,,"55,760",13,5,2011,,,84.92,17,82,N,,11110,,무악동
,두산,1999,,,,"34,450",30,5,2011,,,59.95,7,232,N,,11110,,창신동
,삼성,1998,,,,"40,000",27,5,2011,,,84.93,5,596,N,,11110,,평창동
,현대,2000,,,,"57,990",11,5,2011,,,114.9,3,82,N,,11110,,무악동
,대성아파트,1971,,,,"8,300",19,5,2011,,,30.28,3,41-1,N,,11110,,행촌동
,경희궁의아침3단지,2004,,,,"128,000",17,5,2011,,,150.48,2,72,N,,11110,,내수동
,종로청계힐스테이트,2009,,,,"57,400",7,5,2011,,,84.9478,6,766,N,,11110,,숭인동
,아남1,1995,,,,"55,000",11,5,2011,,,84.9,7,4,N,,11110,,명륜2가
,MID그린(5동),2002,,,,"25,300",20,5,2011,,,59.04,5,601-4,N,,11110,,창신동
,창신쌍용1,1992,,,,"35,250",25,5,2011,,,79.87,13,702,N,,11110,,창신동
,대아파크빌,1998,,,,"22,500",19,5,2011,,,59.22,6,254,N,,11110,,신영동
,대아파크빌,1998,,,,"37,500",21,5,2011,,,84.84,9,254,N,,11110,,신영동
,현대,2000,,,,"45,490",14,5,2011,,,84.92,3,82,N,,11110,,무악동
,창신쌍용1,1992,,,,"24,800",11,5,2011,,,54.7,4,702,N,,11110,,창신동
,숭인모범103동,2000,,,,"23,000",23,5,2011,,,59.74,5,569-4,N,,11110,,숭인동
,창신쌍용1,1992,,,,"45,700",2,5,2011,,,106.62,10,702,N,,11110,,창신동
,창신쌍용2,1993,,,,"46,700",5,5,2011,,,106.62,11,703,N,,11110,,창신동
,대보,2003,,,,"40,000",6,5,2011,,,81.97,2,36-5,N,,11110,,명륜1가
,현대뜨레비앙,2003,,,,"20,800",31,5,2011,,,46.64,4,55,N,,11110,,익선동
,인왕산아이파크,2008,,,,"59,000",27,5,2011,,,84.858,4,60,N,,11110,,무악동
,인왕산아이파크,2008,,,,"52,800",3,5,2011,,,84.858,1,60,N,,11110,,무악동
,현대뜨레비앙,2003,,,,"15,000",17,5,2011,,,45.5,5,55,N,,11110,,익선동
,현대뜨레비앙,2003,,,,"20,000",9,5,2011,,,43.98,6,55,N,,11110,,익선동
,경희궁파크팰리스,2003,,,,"137,500",18,5,2011,,,147.62,5,95,N,,11110,,내수동
,경희궁의아침3단지,2004,,,,"125,000",15,5,2011,,,149,13,72,N,,11110,,내수동
,동문상가,1970,,,,"18,000",9,5,2011,,,45.3,5,436-41,N,,11110,,창신동
